score,brokerability,estimated_margin_low,estimated_margin_high,margin_basis,demand_title,demand_url,demand_contact,supply_title,supply_url,supply_contact,reasoning,suggested_offer
0.6667,high,0.0,2000.0,Both sides expose compatible public price/budget ranges.,Looking for solar installer subcontractor,https://example.com/demand/solar-installer,pm@example.com,Bangkok rooftop solar installation crew,https://example.com/supply/solar-team,solar@supply10.com,"shared keywords: bangkok, certified, energy-services, rooftop, solar, subcontractor | locations: Thailand ↔ Thailand | Both sides expose compatible public price/budget ranges. | broker score 0.82",Offer to broker Looking for solar installer subcontractor with Bangkok rooftop solar installation crew on a success-fee or margin-share basis.
0.6186,high,1000.0,5000.0,Both sides expose compatible public price/budget ranges.,Need rubber glove wholesaler,https://example.com/demand/nitrile-gloves,healthbuyer@example.com,Nitrile glove manufacturer with CE FDA,https://example.com/supply/gloves,med@supply9.com,"shared keywords: fda, glove, gloves, medical-supplies, nitrile | locations: EU/Global ↔ Malaysia/Global | Both sides expose compatible public price/budget ranges. | broker score 0.79",Offer to broker Need rubber glove wholesaler with Nitrile glove manufacturer with CE FDA on a success-fee or margin-share basis.
0.5979,high,0.0,2000.0,Both sides expose compatible public price/budget ranges.,Sourcing collagen stick pack manufacturer,https://example.com/demand/collagen-stickpack,procurement@example.com,Collagen peptide stick pack OEM,https://example.com/supply/collagen-oem,bd@supply2.com,"shared keywords: collagen, nutraceutical, oem, pack, peptide, stick | locations: Singapore/SEA ↔ Vietnam/SEA | Both sides expose compatible public price/budget ranges. | broker score 0.78",Offer to broker Sourcing collagen stick pack manufacturer with Collagen peptide stick pack OEM on a success-fee or margin-share basis.
0.5733,high,1000.0,8000.0,Both sides expose compatible public price/budget ranges.,Need reusable food packaging supplier,https://example.com/demand/food-packaging,sourcing@example.com,Compostable food packaging factory,https://example.com/supply/packaging,export@supply6.com,"shared keywords: compostable, food, packaging, takeaway | locations: Australia/SEA ↔ China/Global | Both sides expose compatible public price/budget ranges. | broker score 0.77",Offer to broker Need reusable food packaging supplier with Compostable food packaging factory on a success-fee or margin-share basis.
0.6579,medium,200.0,0.0,Both sides expose compatible public price/budget ranges.,Request for cold email lead generation team,https://example.com/demand/cold-email,founder@example.com,Cold email outbound agency for SaaS,https://example.com/supply/outbound-agency,growth@supply8.com,"shared keywords: agency, cold, email, marketing-services, outbound, saas | locations: Global ↔ Global | Both sides expose compatible public price/budget ranges. | broker score 0.74","Offer to broker Request for cold email lead generation team with Cold email outbound agency for SaaS after validating specs, timing, and commercial terms."
0.6543,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer request for bamboo furniture supplier,https://example.com/demand/bamboo-furniture,buying@example.com,Bamboo hospitality furniture exporter,https://example.com/supply/bamboo-furniture,trade@supply5.com,"shared keywords: b2b, bamboo, chairs, furniture, hotel, tables | locations: UAE/Global ↔ Indonesia/Global | Both sides expose compatible public price/budget ranges. | broker score 0.73","Offer to broker Buyer request for bamboo furniture supplier with Bamboo hospitality furniture exporter after validating specs, timing, and commercial terms."
0.6389,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,OEM electrolyte gummy manufacturer,https://example.com/supply/oem-gummies,sales@supply1.com,"shared keywords: electrolyte, gummies, nutraceutical, private-label, sugar-free | locations: Thailand/SEA ↔ Thailand/SEA | Both sides expose compatible public price/budget ranges. | broker score 0.73","Offer to broker Looking for private label electrolyte gummies with OEM electrolyte gummy manufacturer after validating specs, timing, and commercial terms."
0.6344,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for white-label skincare serum producer,https://example.com/demand/skincare-serum,brand@example.com,Skincare OEM peptide serum lab,https://example.com/supply/skincare-oem,team@supply7.com,"shared keywords: beauty, export, niacinamide, oem, peptide, serum | locations: Thailand/Global ↔ South Korea/Global | Both sides expose compatible public price/budget ranges. | broker score 0.72","Offer to broker Looking for white-label skincare serum producer with Skincare OEM peptide serum lab after validating specs, timing, and commercial terms."
0.625,medium,300.0,0.0,Both sides expose compatible public price/budget ranges.,Seeking TikTok short video production partner,https://example.com/demand/tiktok-video,marketing@example.com,TikTok UGC and short-form video studio,https://example.com/supply/tiktok-studio,contact@supply4.com,"shared keywords: consumer, creative-services, tiktok, vertical, video | locations: Malaysia/SEA ↔ Malaysia/SEA | Both sides expose compatible public price/budget ranges. | broker score 0.72","Offer to broker Seeking TikTok short video production partner with TikTok UGC and short-form video studio after validating specs, timing, and commercial terms."
0.6067,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,Private label gummy vitamin factory,https://example.com/supply/gummy-factory,sales@supply11.com,"shared keywords: ecommerce, gummies, label, nutraceutical, private, private-label | locations: Thailand/SEA ↔ China/Global | Both sides expose compatible public price/budget ranges. | broker score 0.71","Offer to broker Looking for private label electrolyte gummies with Private label gummy vitamin factory after validating specs, timing, and commercial terms."
0.6059,medium,,,No public pricing on one or both sides; heuristic only.,Buyer needs private label gummy supplement manufacturer,https://www.thomasnet.com/articles/top-suppliers/private-label-gummy-supplements-manufacturers-suppliers/,directory,Bioflex OEM gummies manufacturing supplier,https://bioflexoem.com/pages/gummies-manufacturing,site,"shared keywords: gummy, label, manufacturing, nutraceutical, private, private-label | locations: Global ↔ Global | No public pricing on one or both sides; heuristic only. | broker score 0.71","Offer to broker Buyer needs private label gummy supplement manufacturer with Bioflex OEM gummies manufacturing supplier after validating specs, timing, and commercial terms."
0.6053,medium,500.0,0.0,Both sides expose compatible public price/budget ranges.,Need AI chatbot agency for clinic leads,https://example.com/demand/ai-chatbot-clinic,ops@example.com,Healthcare AI chatbot implementation agency,https://example.com/supply/clinic-chatbot,hello@supply3.com,"shared keywords: agency, ai-services, chatbot, clinic | locations: Thailand ↔ Thailand | Both sides expose compatible public price/budget ranges. | broker score 0.71","Offer to broker Need AI chatbot agency for clinic leads with Healthcare AI chatbot implementation agency after validating specs, timing, and commercial terms."
0.5789,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,Bioflex OEM gummies manufacturing supplier,https://bioflexoem.com/pages/gummies-manufacturing,site,"shared keywords: gummies, label, nutraceutical, private, private-label | locations: Thailand/SEA ↔ Global | Both sides expose compatible public price/budget ranges. | broker score 0.69","Offer to broker Looking for private label electrolyte gummies with Bioflex OEM gummies manufacturing supplier after validating specs, timing, and commercial terms."
0.565,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer needs private label gummy supplement manufacturer,https://www.thomasnet.com/articles/top-suppliers/private-label-gummy-supplements-manufacturers-suppliers/,directory,Private label gummy vitamin factory,https://example.com/supply/gummy-factory,sales@supply11.com,"shared keywords: gummy, label, nutraceutical, private, private-label | locations: Global ↔ China/Global | Both sides expose compatible public price/budget ranges. | broker score 0.69","Offer to broker Buyer needs private label gummy supplement manufacturer with Private label gummy vitamin factory after validating specs, timing, and commercial terms."
0.5554,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer request for bamboo furniture supplier,https://example.com/demand/bamboo-furniture,buying@example.com,YiBamboo modern bamboo furniture supplier,https://www.yibamboo.com/products/modern-bamboo-furniture/,site,"shared keywords: b2b, bamboo, furniture | locations: UAE/Global ↔ China/Global | Both sides expose compatible public price/budget ranges. | broker score 0.68","Offer to broker Buyer request for bamboo furniture supplier with YiBamboo modern bamboo furniture supplier after validating specs, timing, and commercial terms."
0.5511,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for white-label skincare serum producer,https://example.com/demand/skincare-serum,brand@example.com,Biocrown ODM OEM serum manufacturer,https://www.biocrown.com.tw/en/category/A0108.html,site,"shared keywords: beauty, oem, serum, skincare | locations: Thailand/Global ↔ Taiwan/Global | Both sides expose compatible public price/budget ranges. | broker score 0.68","Offer to broker Looking for white-label skincare serum producer with Biocrown ODM OEM serum manufacturer after validating specs, timing, and commercial terms."
0.54,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,Akins Lifecare private label skincare and nutraceutical exporter,https://akinslifecare.com/export/,site,"shared keywords: label, nutraceutical, private, private-label | locations: Thailand/SEA ↔ India/Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Looking for private label electrolyte gummies with Akins Lifecare private label skincare and nutraceutical exporter after validating specs, timing, and commercial terms."
0.54,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,Gummy Worlds private label gummy manufacturer,https://www.gummyworlds.com/,site,"shared keywords: label, nutraceutical, private, private-label | locations: Thailand/SEA ↔ USA/Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Looking for private label electrolyte gummies with Gummy Worlds private label gummy manufacturer after validating specs, timing, and commercial terms."
0.54,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer request for bamboo furniture supplier,https://example.com/demand/bamboo-furniture,buying@example.com,Magic Bamboo furniture manufacturer,https://www.magicbambu.com/wooden-bamboo-furniture/,site,"shared keywords: b2b, bamboo, furniture | locations: UAE/Global ↔ China/Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Buyer request for bamboo furniture supplier with Magic Bamboo furniture manufacturer after validating specs, timing, and commercial terms."
0.5352,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for white-label skincare serum producer,https://example.com/demand/skincare-serum,brand@example.com,Sogo Plaza OEM private label collagen serum supplier,https://sogoplaza.com/collections/oem-private-label-customized-collagen-serum-essence,site,"shared keywords: beauty, oem, serum, skincare | locations: Thailand/Global ↔ Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Looking for white-label skincare serum producer with Sogo Plaza OEM private label collagen serum supplier after validating specs, timing, and commercial terms."
0.5337,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer request for bamboo furniture supplier,https://example.com/demand/bamboo-furniture,buying@example.com,BambooVision wholesale bamboo products OEM supplier,https://www.bamboovision.com/wholesale-bamboo-products-worldwide,site,"shared keywords: b2b, bamboo, furniture | locations: UAE/Global ↔ Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Buyer request for bamboo furniture supplier with BambooVision wholesale bamboo products OEM supplier after validating specs, timing, and commercial terms."
0.5309,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Looking for private label electrolyte gummies,https://example.com/demand/electrolyte-gummies,buyer@example.com,TCI Bio private label collagen OEM ODM,https://www.tci-bio.com/technology/private-label-white-label-collagen-functional-food-oem-odm/,site,"shared keywords: label, nutraceutical, private, private-label | locations: Thailand/SEA ↔ Taiwan/Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Looking for private label electrolyte gummies with TCI Bio private label collagen OEM ODM after validating specs, timing, and commercial terms."
0.5282,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Need rubber glove wholesaler,https://example.com/demand/nitrile-gloves,healthbuyer@example.com,Bornova Medical OEM gloves supplier,https://bornovamedical.com/pages/oem-gloves-1,site,"shared keywords: gloves, medical-supplies, nitrile | locations: EU/Global ↔ Global | Both sides expose compatible public price/budget ranges. | broker score 0.67","Offer to broker Need rubber glove wholesaler with Bornova Medical OEM gloves supplier after validating specs, timing, and commercial terms."
0.5233,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer sourcing disposable nitrile gloves with OEM options,https://bornovamedical.com/pages/oem-gloves-1,web-form,Nitrile glove manufacturer with CE FDA,https://example.com/supply/gloves,med@supply9.com,"shared keywords: gloves, medical-supplies, nitrile | locations: Global ↔ Malaysia/Global | Both sides expose compatible public price/budget ranges. | broker score 0.66","Offer to broker Buyer sourcing disposable nitrile gloves with OEM options with Nitrile glove manufacturer with CE FDA after validating specs, timing, and commercial terms."
0.5189,medium,0.0,0.0,Both sides expose compatible public price/budget ranges.,Buyer seeking bamboo furniture wholesale and custom packaging,https://www.bamboovision.com/wholesale-bamboo-products-worldwide,web-form,Bamboo hospitality furniture exporter,https://example.com/supply/bamboo-furniture,trade@supply5.com,"shared keywords: b2b, bamboo, furniture | locations: Global ↔ Indonesia/Global | Both sides expose compatible public price/budget ranges. | broker score 0.66","Offer to broker Buyer seeking bamboo furniture wholesale and custom packaging with Bamboo hospitality furniture exporter after validating specs, timing, and commercial terms."
