id,title,description,category,location,price_min,price_max,moq,source,url,contact
S001,OEM electrolyte gummy manufacturer,Manufacturer offers sugar-free electrolyte and vitamin gummies with export docs,nutraceutical/private-label,Thailand/SEA,3000,15000,3000,web_search,https://example.com/supply/oem-gummies,sales@supply1.com
S002,Collagen peptide stick pack OEM,Factory produces marine collagen stick sachets with custom branding,nutraceutical/oem,Vietnam/SEA,6000,28000,5000,web_search,https://example.com/supply/collagen-oem,bd@supply2.com
S003,Healthcare AI chatbot implementation agency,Agency builds multilingual clinic chatbot funnels with CRM integration,ai-services,Thailand,2500,18000,1,web_search,https://example.com/supply/clinic-chatbot,hello@supply3.com
S004,TikTok UGC and short-form video studio,Studio delivers monthly vertical video packages for consumer brands,creative-services,Malaysia/SEA,1200,9000,4,web_search,https://example.com/supply/tiktok-studio,contact@supply4.com
S005,Bamboo hospitality furniture exporter,Exporter supplies bamboo chairs tables and resort furniture for hotel buyers,furniture/b2b,Indonesia/Global,12000,70000,100,web_search,https://example.com/supply/bamboo-furniture,trade@supply5.com
S006,Compostable food packaging factory,Factory makes takeaway boxes cups and cutlery from compostable materials,packaging,China/Global,7000,42000,20000,web_search,https://example.com/supply/packaging,export@supply6.com
S007,Skincare OEM peptide serum lab,OEM lab formulates niacinamide peptide serums and handles export registration,beauty/oem,South Korea/Global,5000,26000,2000,web_search,https://example.com/supply/skincare-oem,team@supply7.com
S008,Cold email outbound agency for SaaS,Agency handles ICP research email infrastructure and outbound sequences,marketing-services,Global,1800,11000,1,web_search,https://example.com/supply/outbound-agency,growth@supply8.com
S009,Nitrile glove manufacturer with CE FDA,Manufacturer offers nitrile exam gloves with CE and FDA certificates,medical-supplies,Malaysia/Global,14000,85000,50000,web_search,https://example.com/supply/gloves,med@supply9.com
S010,Bangkok rooftop solar installation crew,Certified EPC subcontractor for rooftop solar installations in Bangkok metro,energy-services,Thailand,6000,38000,1,web_search,https://example.com/supply/solar-team,solar@supply10.com
S011,Private label gummy vitamin factory,Factory manufactures functional gummies for ecommerce brands,nutraceutical/private-label,China/Global,2500,14000,5000,web_search,https://example.com/supply/gummy-factory,sales@supply11.com
S012,Clinic CRM automation consultant,Consultant connects chatbot lead forms to CRM and follow-up workflows,ai-services,Singapore/SEA,2000,9000,1,web_search,https://example.com/supply/crm-consultant,advisor@supply12.com
