post_number,file,theme,format,persona,goal,cta
01,posts/01-sleep-but-not-rested.md,นอนครบแต่ยังไม่สดชื่น,3-slide,คนทำงานพลังงานตก / คนเริ่มใส่ใจสุขภาพวัย 35+,ดึง pain point เรื่องการนอนและกระตุ้นคอมเมนต์,คอมเมนต์ว่า “นอน” ถ้าอยากได้เช็กลิสต์ก่อนนอนแบบสั้นๆ
02,posts/02-afternoon-energy-crash.md,บ่ายสองแล้วสมองตื้อ,one-screen text,คนทำงานพลังงานตก,สร้างความรู้สึกว่าช่องเข้าใจปัญหาจริงและเพิ่ม save/share,ถ้าอยากได้เวอร์ชันสำหรับคนทำงานออฟฟิศ คอมเมนต์ว่า “ออฟฟิศ”
03,posts/03-healthy-breakfast-still-hungry.md,อาหารเช้าดูเฮลท์ตี้ แต่หิวเร็ว,3-slide,คนทำงานพลังงานตก / คุณแม่เวลาน้อย,ให้ข้อมูลที่เอาไปใช้ได้ทันทีและชวนคอมเมนต์,คอมเมนต์ว่า “เช้า” ถ้าอยากได้ตัวอย่างมื้อเช้า 5 แบบ
04,posts/04-small-habits-age-you-faster.md,นิสัยเล็กๆ ที่เร่งให้ร่างกายโทรม,5-slide,คนเริ่มใส่ใจสุขภาพวัย 35+,ปลุก awareness เรื่อง healthy aging แบบไม่วิชาการ,ข้อไหนโดนที่สุดสำหรับคุณ คอมเมนต์เลข 1-4
05,posts/05-walk-after-meals.md,เดินหลังอาหาร 10 นาที,one-screen text,คนเริ่มใส่ใจสุขภาพวัย 35+ / biohack-curious,เน้น save-worthy habit และความเป็น practical,ถ้าอยากได้ลิสต์ “นิสัยเล็กแต่คุ้ม” เพิ่ม คอมเมนต์ว่า “ต่อ”
06,posts/06-sugar-craving-not-weakness.md,หิวหวานบ่อย ไม่ได้แปลว่าใจไม่แข็ง,3-slide,คุณแม่/ผู้หญิงดูแลหลายบทบาท / คนทำงานพลังงานตก,สร้าง connection ทางอารมณ์และชวนคนเปิดใจคุย,คอมเมนต์ว่า “หวาน” ถ้าอยากได้แนวทางลดหิวหวานแบบไม่หักดิบ
07,posts/07-10-minute-night-reset.md,คืนที่ยุ่งมาก ให้ reset แค่ 10 นาที,5-slide,คุณแม่/ผู้หญิงดูแลหลายบทบาท / คนทำงานพลังงานตก,ทำให้คนรู้สึกเริ่มได้ทันทีและเซฟไว้ใช้,ถ้าอยากได้ night routine เวอร์ชันคนไม่มีเวลา คอมเมนต์ว่า “10นาที”
08,posts/08-coffee-is-not-the-whole-plan.md,กาแฟช่วยได้ แต่ไม่ควรเป็นทั้งระบบ,one-screen text,คนทำงานพลังงานตก,โพสต์ opinion ที่ชวนคุยง่ายและมี shareability,ทีมกาแฟเช้าเหมือนกันไหม คอมเมนต์ ☕
09,posts/09-stop-chasing-perfect-routine.md,อย่ารอ routine ที่สมบูรณ์แบบ,3-slide,คนเริ่มใส่ใจสุขภาพวัย 35+ / คุณแม่เวลาน้อย,สร้าง mindset alignment และดึงคนที่กลัวเริ่มไม่ไหว,คอมเมนต์ว่า “1อย่าง” ถ้าคุณอยากเริ่มแบบไม่กดดัน
10,posts/10-hydration-check.md,เพลียเพราะดื่มน้ำน้อยกว่าที่คิด,one-screen text,คนทำงานพลังงานตก / คุณแม่เวลาน้อย,โพสต์ quick win ที่เข้าถึงง่ายและคอมเมนต์ง่าย,ใครเป็นสายลืมดื่มน้ำ คอมเมนต์ว่า “ลืม”
